Name;Type;Width;Decimals;Label;Values;Missing;Columns;Align;Measure;Role
country;Numeric;4;0;Country Numeric Code;{1, United States}...;-1;7;Right;Nominal;Input
country_name;String;22;0;Country Name;None;None;18;Left;Nominal;Input
ctryalp;String;6;0;Country Internet Alphanumeric (2-letter);{AE, United Arab Emirates}...;None;14;Right;Nominal;Input
REGION;Numeric;8;2;;{1,00, Africa}...;None;10;Right;Nominal;Input
WEFInc;Numeric;8;2;COUNTRY INCOME GROUP GCR REPORT - 4 CAT;{1,00, Lower}...;None;10;Right;Scale;Input
WEFIncREV;Numeric;8;2;COUNTRY INCOME GROUP GCR REPORT - 3 CAT;{1,00, Low}...;None;11;Right;Nominal;Input
Bstart19;Numeric;8;2;% 18-64 pop: YES: Currently involved in business start-up;None;None;10;Right;Scale;Input
Bjobst19;Numeric;8;2;% 18-64 pop: YES: Currently involved in business start-up, as part of normal job;None;None;10;Right;Scale;Input
Ownmge19;Numeric;8;2;% 18-64 pop: YES: Currently owner-manager of running business;None;None;10;Right;Scale;Input
OMJOBST19;Numeric;8;2;% 18-64 pop: YES: Currently owner-manager of a business for employer;None;None;11;Right;Scale;Input
Busang19;Numeric;8;2;% 18-64 pop: YES: Provided funds for new business in past 3 years excl stocks & funds;None;None;10;Right;Scale;Input
Futsup19;Numeric;8;2;% 18-64 pop: YES: Expects to start a new business in the next 3 years;None;None;10;Right;Scale;Input
Disent19;Numeric;8;2;% 18-64 pop: YES: Exited a business in past year, business did not continue;None;None;10;Right;Scale;Input
Exitct19;Numeric;8;2;% 18-64 pop: YES: Exited a business in past year, business continued;None;None;10;Right;Scale;Input
Knoent19;Numeric;8;2;% 18-64 pop: YES: Knows someone who started a business in the past 2 years;None;None;10;Right;Scale;Input
Opport19;Numeric;8;2;% 18-64 pop: YES: Good conditions to start business next 6 months in area I live;None;None;10;Right;Scale;Input
Suskil19;Numeric;8;2;% 18-64 pop: YES: Has required knowledge/skills to start business;None;None;10;Right;Scale;Input
Frfail19;Numeric;8;2;% 18-64 pop: YES: Fear of failure would prevent starting a business;None;None;10;Right;Scale;Input
Knoen19m;Numeric;8;2;% 18-64 male: YES: Knows someone who started business in past 2 years;None;None;10;Right;Scale;Input
Knoen19f;Numeric;8;2;% 18-64 female: YES: Knows someone who started business in past 2 years;None;None;10;Right;Scale;Input
Oppor19m;Numeric;8;2;% 18-64 male: YES: Good conditions to start business next 6 months in area I live;None;None;10;Right;Scale;Input
Oppor19f;Numeric;8;2;% 18-64 female: YES: Good conditions to start business next 6 months in area I live;None;None;10;Right;Scale;Input
Suskl19m;Numeric;8;2;% 18-64 male: YES: Has required knowledge/skills to start business;None;None;10;Right;Scale;Input
Suskl19f;Numeric;8;2;% 18-64 female: YES: Has required knowledge/skills to start business;None;None;10;Right;Scale;Input
Ffail19m;Numeric;8;2;% 18-64 male: YES: Fear of failure would prevent starting a business;None;None;10;Right;Scale;Input
Ffail19f;Numeric;8;2;% 18-64 female: YES: Fear of failure would prevent starting a business;None;None;10;Right;Scale;Input
Equali19;Numeric;8;2;% 18-64 pop: YES: People prefer equal standard of living for all (OPTIONAL);None;None;10;Right;Scale;Input
NBgood19;Numeric;8;2;% 18-64 pop: YES: People consider starting business as good career choice (OPTIONAL);None;None;10;Right;Scale;Input
NBstat19;Numeric;8;2;% 18-64 pop: YES: People attach high status to successful entrepreneurs (OPTIONAL);None;None;10;Right;Scale;Input
NBmedi19;Numeric;8;2;% 18-64 pop: YES: In my country there is lots of media attention for entrepreneurship (OPTIONAL);None;None;10;Right;Scale;Input
Sub19;Numeric;8;2;% 18-64 pop: Currently attempts to start business (own or part of normal job);None;None;10;Right;Scale;Input
Subo19;Numeric;8;2;% 18-64 pop: Currently starts business and will be (part) owner;None;None;10;Right;Scale;Input
Suboa19;Numeric;8;2;% 18-64 pop: Starts business, active past year and will be (part) owner;None;None;10;Right;Scale;Input
Suboan19;Numeric;8;2;% 18-64 pop: START-UP/NASCENT (SU): active past year, (part) owner, no wages yet;None;None;10;Right;Scale;Input
Babybu19;Numeric;8;2;% 18-64 pop: BABY BUS OWNER (BB): owns-manages business with income<3.5 years;None;None;10;Right;Scale;Input
Estbbu19;Numeric;8;2;% 18-64 pop: ESTABL BUS OWNER (EB): owns-manages business with income>3.5 years;None;None;10;Right;Scale;Input
