NAME;Type;Width;Decimals;Label;Values;Missing;Columns;Align;Measure;Role
ID;Numeric;8;2;Original order;None;None;8;Right;Scale;Input
COUNTRY_1;Numeric;8;2;Phone code;{1,00, USA}...;None;19;Right;Scale;Input
WORLDREGION;Numeric;8;2;WORLD REGION;{,00, GEM total}...;None;11;Right;Scale;Input
EU;Numeric;8;2;European Union;{,00, No}...;None;5;Right;Scale;Input
OECD;Numeric;8;2;OECD;{,00, No}...;None;5;Right;Scale;Input
BRICS;Numeric;8;2;BRICS;{,00, No}...;None;5;Right;Scale;Input
COU_OR_REG;Numeric;8;2;Country (1) or Region (2);{1,00, Country}...;None;11;Right;Scale;Input
CLASSIFICATION;String;1;0;GEM COUNTRIES GCR's CLASSIFICATION VARIABLES 2012;None;None;6;Left;Nominal;Input
WEF_INCOME_4G;Numeric;1;0;COUNTRY INCOME GROUP GCR REPORT - 4 CAT;{1, Lower}...;None;12;Right;Ordinal;Input
WEF_INCOME_3G;Numeric;8;2;COUNTRY INCOME GROUP GCR REPORT - 3 CAT;{1,00, Low}...;None;14;Right;Nominal;Input
SAMPLE_N;Numeric;8;0;SAMPLE = NUMBER OF EXPERTS' INTERVIEWS;None;None;8;Right;Scale;Input
MEANS_10;Numeric;8;2;MEANS OF SINGLE ITEMS IN 10 POINTS;None;None;8;Right;Nominal;Input
NES_INQ_MEAN10;Numeric;8;2;How do you perceive the current overall state of your country’s (name of the country, region, city…) context for entrepreneurs or set of framework conditions that are facing entrepreneurs to develop their activities:;{,00, Extremelly bad conditions}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A01_MEAN10;Numeric;8;2;In my country, there is sufficient equity funding available for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A02_MEAN10;Numeric;8;2;In my country, there is sufficient debt funding available for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A03_MEAN10;Numeric;8;2;In my country, there are sufficient government subsidies available for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A04_MEAN10;Numeric;8;2;In my country, there is sufficient funding available from informal investors (family, friends and colleagues) who are private individuals (other than founders) for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A05_MEAN10;Numeric;8;2;In my country, there is sufficient funding available from professional Business Angels for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A06_MEAN10;Numeric;8;2;In my country, there is sufficient funding available from venture capitalists for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A07_MEAN10;Numeric;8;2;In my country, there is sufficient funding available through initial public offerings (IPOs) for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A08_MEAN10;Numeric;8;2;In my country, there is sufficient funding available through private lenders' funding (crowdfunding) available for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B01_MEAN10;Numeric;8;2;In my country, Government policies (e g , public procurement) consistently favor new firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B02_MEAN10;Numeric;8;2;In my country, the support for new and growing firms is a high priority for policy at the national government level;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B03_MEAN10;Numeric;8;2;In my country, the support for new and growing firms is a high priority for policy at the local government level;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B04_MEAN10;Numeric;8;2;In my country, new firms can get most of the required permits and licenses in about a week;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B05_MEAN10;Numeric;8;2;In my country, the amount of taxes is NOT a burden for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B06_MEAN10;Numeric;8;2;In my country, taxes and other government regulations are applied to new and growing firms in a predictable and consistent way;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B07_MEAN10;Numeric;8;2;In my country, coping with government bureaucracy, regulations, and licensing requirements it is not unduly difficult for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_C01_MEAN10;Numeric;8;2;In my country, a wide range of government assistance for new and growing firms can be obtained through contact with a single agency;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_C02_MEAN10;Numeric;8;2;In my country, science parks and business incubators provide effective support for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_C03_MEAN10;Numeric;8;2;In my country, there are an adequate number of government programs for new and growing businesses;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_C04_MEAN10;Numeric;8;2;In my country, the people working for government agencies are competent and effective in supporting new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_C05_MEAN10;Numeric;8;2;In my country, almost anyone who needs help from a government program for a new or growing business can find what they need;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_C06_MEAN10;Numeric;8;2;In my country, Government programs aimed at supporting new and growing firms are effective;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_D01_MEAN10;Numeric;8;2;In my country, teaching in primary and secondary education encourages creativity, self-sufficiency, and personal initiative;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_D02_MEAN10;Numeric;8;2;In my country, teaching in primary and secondary education provides adequate instruction in market economic principles;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_D03_MEAN10;Numeric;8;2;In my country, teaching in primary and secondary education provides adequate attention to entrepreneurship and new firm creation;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_D04_MEAN10;Numeric;8;2;In my country, Colleges and universities provide good and adequate preparation for starting up and growing new firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_D05_MEAN10;Numeric;8;2;In my country, the level of business and management education provide good and adequate preparation for starting up and growing new firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_D06_MEAN10;Numeric;8;2;In my country, the vocational, professional, and continuing education systems provide good and adequate preparation for starting up and growing new firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_E01_MEAN10;Numeric;8;2;In my country, new technology, science, and other knowledge are efficiently transferred from universities and public research centers to new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_E02_MEAN10;Numeric;8;2;In my country, new and growing firms have just as much access to new research and technology as large, established firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_E03_MEAN10;Numeric;8;2;In my country, new and growing firms can afford the latest technology;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_E04_MEAN10;Numeric;8;2;In my country, there are adequate government subsidies for new and growing firms to acquire new technology;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_E05_MEAN10;Numeric;8;2;In my country, the science and technology base efficiently supports the creation of world-class new technology-based ventures in at least one area;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_E06_MEAN10;Numeric;8;2;In my country, there is good support available for engineers and scientists to have their ideas commercialized through new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_F01_MEAN10;Numeric;8;2;In my country, there are enough subcontractors, suppliers, and consultants to support new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
